date,year,month,month_num,country,visitors
2003-01-01,2003.0,Jan,1,Spain,125.0
2003-01-01,2003.0,Jan,1,Sweden,973.0
2003-01-01,2003.0,Jan,1,Switzerland,104.0
2003-01-01,2003.0,Jan,1,UK,2927.0
2003-01-01,2003.0,Jan,1,USA,2451.0
2003-02-01,2003.0,Feb,2,Canada,93.0
2003-02-01,2003.0,Feb,2,Denmark,917.0
2003-02-01,2003.0,Feb,2,Finland,290.0
2003-02-01,2003.0,Feb,2,France,631.0
2003-02-01,2003.0,Feb,2,Germany,683.0
2003-02-01,2003.0,Feb,2,Italy,108.0
2003-02-01,2003.0,Feb,2,Japan,238.0
2003-02-01,2003.0,Feb,2,Netherlands,458.0
2003-02-01,2003.0,Feb,2,Norway,1616.0
2003-02-01,2003.0,Feb,2,Other,966.0
2003-02-01,2003.0,Feb,2,Spain,65.0
2003-02-01,2003.0,Feb,2,Sweden,1217.0
2003-02-01,2003.0,Feb,2,Switzerland,71.0
2003-02-01,2003.0,Feb,2,UK,3605.0
2003-02-01,2003.0,Feb,2,USA,1990.0
2003-03-01,2003.0,Mar,3,Canada,134.0
2003-03-01,2003.0,Mar,3,Denmark,1532.0
2003-03-01,2003.0,Mar,3,Finland,545.0
2003-03-01,2003.0,Mar,3,France,1072.0
2003-03-01,2003.0,Mar,3,Germany,1001.0
2003-03-01,2003.0,Mar,3,Italy,159.0
2003-03-01,2003.0,Mar,3,Japan,259.0
2003-03-01,2003.0,Mar,3,Netherlands,1146.0
2003-03-01,2003.0,Mar,3,Norway,2064.0
2003-03-01,2003.0,Mar,3,Other,1609.0
2003-03-01,2003.0,Mar,3,Spain,105.0
2003-03-01,2003.0,Mar,3,Sweden,2004.0
2003-03-01,2003.0,Mar,3,Switzerland,126.0
2003-03-01,2003.0,Mar,3,UK,3812.0
2003-03-01,2003.0,Mar,3,USA,2969.0
2003-04-01,2003.0,Apr,4,Canada,185.0
2003-04-01,2003.0,Apr,4,Denmark,1664.0
2003-04-01,2003.0,Apr,4,Finland,702.0
2003-04-01,2003.0,Apr,4,France,880.0
2003-04-01,2003.0,Apr,4,Germany,1009.0
2003-04-01,2003.0,Apr,4,Italy,196.0
2003-04-01,2003.0,Apr,4,Japan,146.0
2003-04-01,2003.0,Apr,4,Netherlands,480.0
2003-04-01,2003.0,Apr,4,Norway,1982.0
2003-04-01,2003.0,Apr,4,Other,2105.0
2003-04-01,2003.0,Apr,4,Spain,120.0
2003-04-01,2003.0,Apr,4,Sweden,2227.0
2003-04-01,2003.0,Apr,4,Switzerland,91.0
2003-04-01,2003.0,Apr,4,UK,5840.0
2003-04-01,2003.0,Apr,4,USA,2838.0
2003-05-01,2003.0,May,5,Canada,156.0
2003-05-01,2003.0,May,5,Denmark,1549.0
2003-05-01,2003.0,May,5,Finland,736.0
2003-05-01,2003.0,May,5,France,967.0
2003-05-01,2003.0,May,5,Germany,1571.0
2003-05-01,2003.0,May,5,Italy,222.0
2003-05-01,2003.0,May,5,Japan,190.0
2003-05-01,2003.0,May,5,Netherlands,929.0
2003-05-01,2003.0,May,5,Norway,2031.0
2003-05-01,2003.0,May,5,Other,1862.0
2003-05-01,2003.0,May,5,Spain,303.0
2003-05-01,2003.0,May,5,Sweden,2132.0
2003-05-01,2003.0,May,5,Switzerland,142.0
2003-05-01,2003.0,May,5,UK,3960.0
2003-05-01,2003.0,May,5,USA,3623.0
2003-06-01,2003.0,Jun,6,Canada,339.0
2003-06-01,2003.0,Jun,6,Denmark,2955.0
2003-06-01,2003.0,Jun,6,Finland,644.0
2003-06-01,2003.0,Jun,6,France,2803.0
2003-06-01,2003.0,Jun,6,Germany,5142.0
2003-06-01,2003.0,Jun,6,Italy,748.0
2003-06-01,2003.0,Jun,6,Japan,262.0
2003-06-01,2003.0,Jun,6,Netherlands,1083.0
2003-06-01,2003.0,Jun,6,Norway,2501.0
2003-06-01,2003.0,Jun,6,Other,3714.0
2003-06-01,2003.0,Jun,6,Spain,615.0
2003-06-01,2003.0,Jun,6,Sweden,2380.0
2003-06-01,2003.0,Jun,6,Switzerland,650.0
2003-06-01,2003.0,Jun,6,UK,4734.0
2003-06-01,2003.0,Jun,6,USA,5943.0
2003-07-01,2003.0,Jul,7,Canada,281.0
2003-07-01,2003.0,Jul,7,Denmark,4918.0
2003-07-01,2003.0,Jul,7,Finland,845.0
2003-07-01,2003.0,Jul,7,France,4870.0
2003-07-01,2003.0,Jul,7,Germany,9576.0
2003-07-01,2003.0,Jul,7,Italy,1939.0
2003-07-01,2003.0,Jul,7,Japan,526.0
2003-07-01,2003.0,Jul,7,Netherlands,1965.0
2003-07-01,2003.0,Jul,7,Norway,2573.0
2003-07-01,2003.0,Jul,7,Other,6216.0
2003-07-01,2003.0,Jul,7,Spain,1006.0
2003-07-01,2003.0,Jul,7,Sweden,2739.0
2003-07-01,2003.0,Jul,7,Switzerland,2095.0
2003-07-01,2003.0,Jul,7,UK,6826.0
2003-07-01,2003.0,Jul,7,USA,6232.0
2003-08-01,2003.0,Aug,8,Canada,496.0
2003-08-01,2003.0,Aug,8,Denmark,3156.0
2003-08-01,2003.0,Aug,8,Finland,925.0
2003-08-01,2003.0,Aug,8,France,5908.0
2003-08-01,2003.0,Aug,8,Germany,9959.0
2003-08-01,2003.0,Aug,8,Italy,4255.0
2003-08-01,2003.0,Aug,8,Japan,723.0
2003-08-01,2003.0,Aug,8,Netherlands,2161.0
2003-08-01,2003.0,Aug,8,Norway,3015.0
2003-08-01,2003.0,Aug,8,Other,6618.0
2003-08-01,2003.0,Aug,8,Spain,1988.0
2003-08-01,2003.0,Aug,8,Sweden,3560.0
2003-08-01,2003.0,Aug,8,Switzerland,2275.0
2003-08-01,2003.0,Aug,8,UK,7270.0
2003-08-01,2003.0,Aug,8,USA,6454.0
2003-09-01,2003.0,Sep,9,Canada,310.0
2003-09-01,2003.0,Sep,9,Denmark,2561.0
2003-09-01,2003.0,Sep,9,Finland,715.0
2003-09-01,2003.0,Sep,9,France,1487.0
2003-09-01,2003.0,Sep,9,Germany,4544.0
2003-09-01,2003.0,Sep,9,Italy,546.0
2003-09-01,2003.0,Sep,9,Japan,388.0
2003-09-01,2003.0,Sep,9,Netherlands,844.0
2003-09-01,2003.0,Sep,9,Norway,2331.0
2003-09-01,2003.0,Sep,9,Other,3129.0
2003-09-01,2003.0,Sep,9,Spain,481.0
2003-09-01,2003.0,Sep,9,Sweden,2665.0
2003-09-01,2003.0,Sep,9,Switzerland,324.0
2003-09-01,2003.0,Sep,9,UK,4179.0
2003-09-01,2003.0,Sep,9,USA,4554.0
2003-10-01,2003.0,Oct,10,Canada,221.0
2003-10-01,2003.0,Oct,10,Denmark,2031.0
2003-10-01,2003.0,Oct,10,Finland,951.0
2003-10-01,2003.0,Oct,10,France,532.0
2003-10-01,2003.0,Oct,10,Germany,1251.0
2003-10-01,2003.0,Oct,10,Italy,166.0
2003-10-01,2003.0,Oct,10,Japan,875.0
2003-10-01,2003.0,Oct,10,Netherlands,640.0
2003-10-01,2003.0,Oct,10,Norway,2631.0
2003-10-01,2003.0,Oct,10,Other,2702.0
2003-10-01,2003.0,Oct,10,Spain,134.0
2003-10-01,2003.0,Oct,10,Sweden,2602.0
2003-10-01,2003.0,Oct,10,Switzerland,125.0
2003-10-01,2003.0,Oct,10,UK,4143.0
2003-10-01,2003.0,Oct,10,USA,3528.0
2003-11-01,2003.0,Nov,11,Canada,101.0
2003-11-01,2003.0,Nov,11,Denmark,1349.0
2003-11-01,2003.0,Nov,11,Finland,270.0
2003-11-01,2003.0,Nov,11,France,288.0
2003-11-01,2003.0,Nov,11,Germany,608.0
2003-11-01,2003.0,Nov,11,Italy,166.0
2003-11-01,2003.0,Nov,11,Japan,213.0
2003-11-01,2003.0,Nov,11,Netherlands,391.0
2003-11-01,2003.0,Nov,11,Norway,1703.0
2003-11-01,2003.0,Nov,11,Other,1975.0
2003-11-01,2003.0,Nov,11,Spain,68.0
2003-11-01,2003.0,Nov,11,Sweden,1812.0
2003-11-01,2003.0,Nov,11,Switzerland,50.0
2003-11-01,2003.0,Nov,11,UK,3363.0
2003-11-01,2003.0,Nov,11,USA,2779.0
2003-12-01,2003.0,Dec,12,Canada,118.0
2003-12-01,2003.0,Dec,12,Denmark,931.0
2003-12-01,2003.0,Dec,12,Finland,153.0
2003-12-01,2003.0,Dec,12,France,495.0
2003-12-01,2003.0,Dec,12,Germany,679.0
2003-12-01,2003.0,Dec,12,Italy,264.0
2003-12-01,2003.0,Dec,12,Japan,253.0
2003-12-01,2003.0,Dec,12,Netherlands,335.0
2003-12-01,2003.0,Dec,12,Norway,895.0
2003-12-01,2003.0,Dec,12,Other,1737.0
2003-12-01,2003.0,Dec,12,Spain,116.0
2003-12-01,2003.0,Dec,12,Sweden,900.0
2003-12-01,2003.0,Dec,12,Switzerland,68.0
2003-12-01,2003.0,Dec,12,UK,2314.0
2003-12-01,2003.0,Dec,12,USA,1881.0
2004-01-01,2004.0,Jan,1,Canada,138.0
2004-01-01,2004.0,Jan,1,Denmark,1114.0
2004-01-01,2004.0,Jan,1,Finland,295.0
2004-01-01,2004.0,Jan,1,France,772.0
2004-01-01,2004.0,Jan,1,Germany,873.0
2004-01-01,2004.0,Jan,1,Italy,231.0
2004-01-01,2004.0,Jan,1,Japan,487.0
2004-01-01,2004.0,Jan,1,Netherlands,313.0
2004-01-01,2004.0,Jan,1,Norway,1161.0
2004-01-01,2004.0,Jan,1,Other,1447.0
2004-01-01,2004.0,Jan,1,Spain,155.0
2004-01-01,2004.0,Jan,1,Sweden,1096.0
2004-01-01,2004.0,Jan,1,Switzerland,151.0
2004-01-01,2004.0,Jan,1,UK,2553.0
2004-01-01,2004.0,Jan,1,USA,2479.0
2004-02-01,2004.0,Feb,2,Canada,95.0
2004-02-01,2004.0,Feb,2,Denmark,1483.0
2004-02-01,2004.0,Feb,2,Finland,285.0
2004-02-01,2004.0,Feb,2,France,675.0
2004-02-01,2004.0,Feb,2,Germany,715.0
2004-02-01,2004.0,Feb,2,Italy,157.0
2004-02-01,2004.0,Feb,2,Japan,374.0
2004-02-01,2004.0,Feb,2,Netherlands,522.0
2004-02-01,2004.0,Feb,2,Norway,2174.0
2004-02-01,2004.0,Feb,2,Other,1306.0
2004-02-01,2004.0,Feb,2,Spain,83.0
2004-02-01,2004.0,Feb,2,Sweden,1422.0
2004-02-01,2004.0,Feb,2,Switzerland,71.0
2004-02-01,2004.0,Feb,2,UK,3793.0
2004-02-01,2004.0,Feb,2,USA,2269.0
2004-03-01,2004.0,Mar,3,Canada,155.0
2004-03-01,2004.0,Mar,3,Denmark,1909.0
2004-03-01,2004.0,Mar,3,Finland,452.0
2004-03-01,2004.0,Mar,3,France,814.0
2004-03-01,2004.0,Mar,3,Germany,1246.0
2004-03-01,2004.0,Mar,3,Italy,188.0
2004-03-01,2004.0,Mar,3,Japan,401.0
2004-03-01,2004.0,Mar,3,Netherlands,932.0
2004-03-01,2004.0,Mar,3,Norway,2334.0
2004-03-01,2004.0,Mar,3,Other,1960.0
2004-03-01,2004.0,Mar,3,Spain,74.0
2004-03-01,2004.0,Mar,3,Sweden,1837.0
2004-03-01,2004.0,Mar,3,Switzerland,93.0
2004-03-01,2004.0,Mar,3,UK,3551.0
2004-03-01,2004.0,Mar,3,USA,2796.0
2004-04-01,2004.0,Apr,4,Canada,130.0
2004-04-01,2004.0,Apr,4,Denmark,2413.0
2004-04-01,2004.0,Apr,4,Finland,512.0
2004-04-01,2004.0,Apr,4,France,956.0
2004-04-01,2004.0,Apr,4,Germany,1239.0
2004-04-01,2004.0,Apr,4,Italy,312.0
2004-04-01,2004.0,Apr,4,Japan,270.0
2004-04-01,2004.0,Apr,4,Netherlands,569.0
2004-04-01,2004.0,Apr,4,Norway,2339.0
2004-04-01,2004.0,Apr,4,Other,2441.0
2004-04-01,2004.0,Apr,4,Spain,186.0
2004-04-01,2004.0,Apr,4,Sweden,2727.0
2004-04-01,2004.0,Apr,4,Switzerland,119.0
2004-04-01,2004.0,Apr,4,UK,7335.0
2004-04-01,2004.0,Apr,4,USA,2900.0
2004-05-01,2004.0,May,5,Canada,245.0
2004-05-01,2004.0,May,5,Denmark,2993.0
2004-05-01,2004.0,May,5,Finland,704.0
2004-05-01,2004.0,May,5,France,935.0
2004-05-01,2004.0,May,5,Germany,2099.0
2004-05-01,2004.0,May,5,Italy,381.0
2004-05-01,2004.0,May,5,Japan,329.0
2004-05-01,2004.0,May,5,Netherlands,880.0
2004-05-01,2004.0,May,5,Norway,2639.0
2004-05-01,2004.0,May,5,Other,3520.0
2004-05-01,2004.0,May,5,Spain,166.0
2004-05-01,2004.0,May,5,Sweden,2588.0
2004-05-01,2004.0,May,5,Switzerland,190.0
2004-05-01,2004.0,May,5,UK,3950.0
2004-05-01,2004.0,May,5,USA,4127.0
2004-06-01,2004.0,Jun,6,Canada,378.0
2004-06-01,2004.0,Jun,6,Denmark,3269.0
2004-06-01,2004.0,Jun,6,Finland,1139.0
2004-06-01,2004.0,Jun,6,France,2138.0
2004-06-01,2004.0,Jun,6,Germany,4666.0
2004-06-01,2004.0,Jun,6,Italy,751.0
2004-06-01,2004.0,Jun,6,Japan,426.0
2004-06-01,2004.0,Jun,6,Netherlands,1115.0
2004-06-01,2004.0,Jun,6,Norway,2855.0
2004-06-01,2004.0,Jun,6,Other,5555.0
2004-06-01,2004.0,Jun,6,Spain,438.0
2004-06-01,2004.0,Jun,6,Sweden,2741.0
2004-06-01,2004.0,Jun,6,Switzerland,618.0
2004-06-01,2004.0,Jun,6,UK,5812.0
2004-06-01,2004.0,Jun,6,USA,6263.0
2004-07-01,2004.0,Jul,7,Canada,774.0
2004-07-01,2004.0,Jul,7,Denmark,6395.0
2004-07-01,2004.0,Jul,7,Finland,1195.0
2004-07-01,2004.0,Jul,7,France,5492.0
2004-07-01,2004.0,Jul,7,Germany,10691.0
2004-07-01,2004.0,Jul,7,Italy,2292.0
