Dagsetning;Gengisvísitala  -  ;
16.09.2016;172,0919;
15.09.2016;172,2126;
14.09.2016;172,2553;
13.09.2016;172,4993;
12.09.2016;172,3586;
09.09.2016;172,7703;
08.09.2016;173,0120;
07.09.2016;173,1087;
06.09.2016;173,7880;
05.09.2016;173,4227;
02.09.2016;173,2972;
01.09.2016;173,6461;
31.08.2016;174,0969;
30.08.2016;175,0171;
29.08.2016;175,2696;
26.08.2016;175,7300;
25.08.2016;176,0865;
24.08.2016;176,3739;
23.08.2016;176,1396;
22.08.2016;176,2173;
19.08.2016;176,2359;
18.08.2016;176,8144;
17.08.2016;176,7302;
16.08.2016;176,6447;
15.08.2016;177,1030;
12.08.2016;177,4818;
11.08.2016;177,8277;
10.08.2016;177,7839;
09.08.2016;177,8253;
08.08.2016;178,7399;
05.08.2016;178,6483;
04.08.2016;179,3857;
03.08.2016;177,5914;
02.08.2016;177,4048;
29.07.2016;177,4469;
28.07.2016;178,0477;
27.07.2016;179,1480;
26.07.2016;179,5798;
25.07.2016;180,3496;
22.07.2016;180,8506;
21.07.2016;181,6001;
20.07.2016;181,5176;
19.07.2016;181,3574;
18.07.2016;181,3623;
15.07.2016;181,2760;
14.07.2016;182,1823;
13.07.2016;182,1032;
12.07.2016;182,4078;
11.07.2016;182,0967;
08.07.2016;182,3625;
07.07.2016;182,5013;
06.07.2016;182,7167;
05.07.2016;183,3001;
04.07.2016;183,5971;
01.07.2016;183,4207;
30.06.2016;183,8568;
29.06.2016;184,7861;
28.06.2016;184,7926;
27.06.2016;185,6362;
24.06.2016;186,2941;
23.06.2016;185,8683;
22.06.2016;186,8720;
21.06.2016;186,9921;
20.06.2016;187,0496;
16.06.2016;186,5938;
15.06.2016;186,7585;
14.06.2016;186,9125;
13.06.2016;186,8010;
10.06.2016;187,4536;
09.06.2016;187,4255;
08.06.2016;187,7376;
07.06.2016;187,5953;
06.06.2016;187,6208;
03.06.2016;188,0024;
02.06.2016;187,5557;
01.06.2016;187,6647;
31.05.2016;188,1503;
30.05.2016;188,5637;
27.05.2016;188,6620;
26.05.2016;188,8467;
25.05.2016;188,9680;
24.05.2016;188,2590;
23.05.2016;188,2642;
20.05.2016;188,4370;
19.05.2016;188,5219;
18.05.2016;188,2411;
17.05.2016;188,2764;
13.05.2016;188,0323;
12.05.2016;188,1636;
11.05.2016;187,6639;
10.05.2016;187,5593;
09.05.2016;187,7384;
06.05.2016;187,5056;
04.05.2016;187,4136;
03.05.2016;187,5183;
02.05.2016;188,0087;
29.04.2016;188,6743;
28.04.2016;189,1236;
27.04.2016;189,1500;
26.04.2016;189,4449;
25.04.2016;189,4030;
22.04.2016;189,6233;
20.04.2016;188,9073;
19.04.2016;188,6029;
18.04.2016;188,2467;
15.04.2016;188,4433;
14.04.2016;188,8303;
13.04.2016;189,0097;
12.04.2016;188,7084;
11.04.2016;188,3530;
08.04.2016;188,0526;
07.04.2016;188,4541;
06.04.2016;187,9970;
05.04.2016;187,2918;
04.04.2016;187,4919;
01.04.2016;187,5580;
31.03.2016;188,3601;
30.03.2016;188,6189;
29.03.2016;188,8455;
23.03.2016;189,2372;
22.03.2016;189,1157;
21.03.2016;189,2770;
18.03.2016;189,2075;
17.03.2016;188,6562;
16.03.2016;188,8436;
15.03.2016;189,2435;
14.03.2016;189,5255;
11.03.2016;189,4619;
10.03.2016;190,8972;
09.03.2016;191,2167;
08.03.2016;190,9497;
07.03.2016;191,0383;
04.03.2016;191,1281;
03.03.2016;191,1716;
02.03.2016;190,8038;
01.03.2016;190,9757;
29.02.2016;190,3162;
26.02.2016;190,4626;
25.02.2016;190,8146;
24.02.2016;190,7370;
23.02.2016;191,4303;
22.02.2016;191,0734;
19.02.2016;191,1978;
18.02.2016;190,9612;
17.02.2016;190,4523;
16.02.2016;190,0892;
15.02.2016;190,0488;
12.02.2016;189,9153;
11.02.2016;190,0594;
10.02.2016;190,0142;
09.02.2016;190,0276;
08.02.2016;190,1466;
05.02.2016;190,4096;
04.02.2016;190,9133;
03.02.2016;190,9048;
02.02.2016;190,8942;
01.02.2016;190,9516;
29.01.2016;190,5525;
28.01.2016;191,1807;
27.01.2016;190,9369;
26.01.2016;191,0411;
25.01.2016;191,0009;
22.01.2016;190,4592;
21.01.2016;189,7550;
20.01.2016;189,8545;
19.01.2016;190,4498;
18.01.2016;190,4364;
15.01.2016;190,2280;
14.01.2016;190,4429;
13.01.2016;191,1891;
12.01.2016;190,8983;
11.01.2016;190,4886;
08.01.2016;191,2560;
07.01.2016;191,2887;
06.01.2016;192,0135;
05.01.2016;191,9299;
04.01.2016;191,4216;
31.12.2015;191,4954;
30.12.2015;191,8012;
29.12.2015;191,9425;
28.12.2015;192,0064;
23.12.2015;192,0693;
22.12.2015;192,0233;
21.12.2015;192,3811;
18.12.2015;192,8100;
17.12.2015;192,7999;
16.12.2015;191,9122;
15.12.2015;191,8854;
14.12.2015;191,9841;
11.12.2015;192,2073;
10.12.2015;192,7276;
09.12.2015;192,0558;
08.12.2015;192,3748;
07.12.2015;192,9421;
04.12.2015;193,2544;
03.12.2015;193,8318;
02.12.2015;193,9070;
01.12.2015;193,8579;
30.11.2015;193,9055;
27.11.2015;194,1406;
26.11.2015;194,3000;
25.11.2015;194,4792;
24.11.2015;194,2926;
23.11.2015;194,4325;
20.11.2015;194,3753;
19.11.2015;194,1193;
18.11.2015;193,7263;
17.11.2015;193,7021;
16.11.2015;193,3785;
13.11.2015;193,2392;
12.11.2015;193,5128;
11.11.2015;193,5902;
10.11.2015;193,5500;
09.11.2015;193,3192;
06.11.2015;193,0169;
05.11.2015;193,4100;
04.11.2015;193,1827;
03.11.2015;192,8223;
02.11.2015;192,7935;
30.10.2015;192,7496;
29.10.2015;193,2823;
28.10.2015;192,7665;
27.10.2015;193,4377;
26.10.2015;193,7470;
23.10.2015;193,2828;
22.10.2015;192,6301;
21.10.2015;192,3203;
20.10.2015;191,8620;
19.10.2015;191,9466;
16.10.2015;191,9931;
15.10.2015;191,7271;
14.10.2015;191,6119;
13.10.2015;191,8139;
12.10.2015;192,0796;
09.10.2015;192,2950;
08.10.2015;192,4386;
07.10.2015;192,5322;
06.10.2015;192,2646;
05.10.2015;192,1942;
02.10.2015;192,3208;
01.10.2015;192,7117;
30.09.2015;192,5898;
29.09.2015;192,8077;
28.09.2015;193,1884;
25.09.2015;193,8669;
24.09.2015;193,9289;
23.09.2015;194,3298;
22.09.2015;194,8424;
21.09.2015;194,4774;
18.09.2015;194,1737;
17.09.2015;194,4569;
16.09.2015;194,7385;
15.09.2015;194,6372;
14.09.2015;194,4648;
11.09.2015;194,5574;
10.09.2015;195,5074;
09.09.2015;195,4761;
08.09.2015;195,6556;
07.09.2015;195,8166;
04.09.2015;196,1466;
03.09.2015;196,0993;
02.09.2015;195,7996;
01.09.2015;196,2134;
31.08.2015;196,8599;
28.08.2015;197,3420;
27.08.2015;197,7316;
26.08.2015;197,4000;
25.08.2015;198,6557;
24.08.2015;198,6139;
21.08.2015;199,6327;
20.08.2015;200,3242;
19.08.2015;201,0669;
18.08.2015;201,1397;
17.08.2015;200,6846;
14.08.2015;200,5361;
13.08.2015;201,3314;
12.08.2015;201,2744;
11.08.2015;201,7733;
10.08.2015;202,0200;
07.08.2015;202,1645;
06.08.2015;202,3907;
05.08.2015;202,9720;
04.08.2015;202,6112;
31.07.2015;203,5245;
30.07.2015;203,8341;
29.07.2015;203,2790;
28.07.2015;203,8675;
27.07.2015;203,5416;
24.07.2015;204,0641;
23.07.2015;204,4525;
22.07.2015;204,4391;
21.07.2015;204,6693;
20.07.2015;205,0105;
17.07.2015;205,0925;
16.07.2015;205,3210;
15.07.2015;204,4419;
14.07.2015;204,2150;
13.07.2015;204,0074;
10.07.2015;203,5967;
09.07.2015;203,6474;
08.07.2015;203,5077;
07.07.2015;203,3463;
06.07.2015;203,4365;
03.07.2015;203,5496;
02.07.2015;203,6174;
01.07.2015;203,8547;
30.06.2015;203,6535;
29.06.2015;204,2136;
26.06.2015;204,1443;
25.06.2015;204,4180;
24.06.2015;204,7574;
23.06.2015;204,7377;
22.06.2015;204,6298;
19.06.2015;205,0997;
18.06.2015;205,2513;
16.06.2015;205,4081;
15.06.2015;205,6156;
12.06.2015;205,9346;
11.06.2015;205,6747;
10.06.2015;205,3260;
09.06.2015;205,0371;
08.06.2015;204,4896;
05.06.2015;204,2231;
04.06.2015;203,7481;
03.06.2015;204,1835;
02.06.2015;204,6707;
01.06.2015;205,2442;
29.05.2015;205,5327;
28.05.2015;205,9178;
27.05.2015;207,0032;
26.05.2015;206,6237;
22.05.2015;206,0898;
21.05.2015;206,4133;
20.05.2015;206,4607;
19.05.2015;206,2496;
18.05.2015;204,6096;
15.05.2015;205,6406;
13.05.2015;206,1424;
12.05.2015;205,9322;
11.05.2015;206,0459;
08.05.2015;205,9542;
07.05.2015;204,6902;
06.05.2015;204,1025;
05.05.2015;204,3056;
04.05.2015;204,1483;
30.04.2015;204,1072;
29.04.2015;205,1393;
28.04.2015;205,4611;
27.04.2015;206,3380;
24.04.2015;206,4439;
22.04.2015;205,9162;
21.04.2015;206,2964;
20.04.2015;206,0970;
17.04.2015;205,4707;
16.04.2015;205,2258;
